Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,-0.4617623709976184,7.16825958702065,-0.13101050664971736,-0.329467501523799,-0.5188701853550504,-0.26033973412112255,0.07051051329981761,-0.11526864927008096,-0.20464853997597277,0.06962083847102352,0.11746905485827908,-0.2928342080491044,-0.2840444930707513,0.5628454269923338,0.416104429451452,0.6006329478105761,0.16314249354720434
Algeria,,-0.1959334565619224,-0.2942528735632184,0.3908794788273615,-0.6182669789227166,0.834355828220859,-0.6086956521739131,1.4615384615384617,-0.9895833333333334,-1.0,,0.0,54.0,-0.8545454545454545,-1.0,,,
Angola,,,,,,,0.21676266788972676,0.4167478136508014,-0.10139844863171144,0.1418223037579318,0.06956048663359216,-0.030060551320066353,-0.08298075945210448,0.3360653218726992,0.14956537131450687,0.20458038111700882,0.37011019010184865,0.021252931736497338
Argentina,,-0.5113636363636364,-0.41860465116279066,-0.02400000000000002,-0.05737704918032782,1.1913043478260867,-0.15873015873015872,0.8254716981132075,-0.6640826873385013,-0.3384615384615385,-0.8372093023255813,-1.0,,,,,,
Armenia,,-0.43971631205673756,-0.3417721518987342,-0.4423076923076923,0.6206896551724137,-0.851063829787234,-1.0,,,,,,,,,,,
Azerbaijan,,-0.3066841415465269,-0.5217391304347826,-0.04743083003952564,-0.19917012448132776,-0.37305699481865284,-0.40909090909090906,-0.2447552447552448,-0.33333333333333337,0.08333333333333326,-0.3589743589743589,-0.92,-0.25,-1.0,,,,
Bangladesh,,-0.024874548103383187,0.148535487678914,-0.1222919911994732,0.07757895122040481,-0.18292185961218466,-0.31720039068182293,0.8220166174635541,0.41465940600674833,-0.24580233793836348,-0.12524854007170483,-0.07338070266497232,-0.8087613234697623,-0.6097363902636097,1.6438923395445135,-0.3531714956930305,-0.27557506053268765,0.02214330478378934
Belize,,-0.2180349932705249,-0.02409638554216864,-0.04409171075837748,-0.016605166051660514,0.4530956848030019,-0.4551323434473854,0.0011848341232227888,-0.36094674556213013,-0.5259259259259259,-0.4140625,-0.52,-0.5416666666666667,-0.3939393939393939,-0.050000000000000044,-0.5263157894736843,-0.5555555555555556,0.75
Benin,,,,,,,,,,,0.0,-0.5245397635108932,0.6687763613322995,0.5284420384818633,-0.032070735627538594,0.21461835697903253,0.044332505221363006,0.18767288551204309
Bhutan,,0.007919123841617415,0.08843196255432972,-0.41545077561050525,-0.2984760903836048,-0.31647940074906367,0.02356164383561654,-0.5754817987152034,-0.5851197982345524,1.9544072948328268,-0.5514403292181069,-0.555045871559633,0.0,-0.9226804123711341,0.2666666666666666,0.7894736842105263,-0.5588235294117647,0.6000000000000001
Bolivia (Plurinational State of),,-0.4990307922082049,-0.09444973041547733,0.42497898571028303,-0.2670697537236396,0.4380952380952381,-0.08007648540248113,-0.2593155893536122,-0.3327857631759069,-0.0005129257283544852,0.4132197475110335,-0.4812259423342291,0.03807923841523175,-0.015374241402562383,0.01369675386933289,-0.07120659370355353,-0.193773639802153,-0.17502706604114038
Botswana,,-0.6460513796384395,-0.5591397849462365,-0.6396341463414634,-0.6649746192893401,2.3838383838383836,2.8029850746268656,-0.846938775510204,1.376923076923077,0.1046386192017259,0.021484375,-0.5869980879541109,-0.5532407407407407,1.3626943005181347,1.9517543859649122,-0.7578008915304606,1.1963190184049082,1.6536312849162011
Brazil,,-0.36680195877314137,-0.10312565187495337,0.17408595327041088,0.1372460783690319,0.30335868078554173,-0.09338571478070912,-0.16528138985092877,-0.31157827721235276,-0.02036447017539411,0.08136339536267112,-0.20131665884364824,-0.09129090459898337,-0.30440191466398636,-0.17523184612286957,-0.00748894250100518,-0.10165016024133866,0.526059366393403
Burkina Faso,,,,,,0.16865687992988598,1.0747597843918446,-0.00042923302835196075,-0.17475025991050042,3.9988223695021086,3.4077807666810935,-0.46787787789031976,8.0117468985992,-0.02306737659426561,0.4403241028046583,0.2922991053953512,0.39394615823427337,0.045638405939818494
Burundi,,0.012723348317889016,0.04846882361424942,0.08045839981903669,0.028110756834597517,-0.09887587886459637,1.4177650062296925,0.39143724320507856,-0.20415215804742726,0.3523058691221239,0.4873602210485297,-0.1086355302994646,0.3684786439625567,0.9252629846644191,0.10718293170862814,0.1252778187907242,0.6035917550341046,-0.07298531241366091
Cabo Verde,,-0.2569444444444444,-0.28971962616822433,-0.10526315789473684,-0.3382352941176471,0.5111111111111111,0.17647058823529416,-0.775,0.9444444444444444,0.8571428571428572,-0.27692307692307694,-0.851063829787234,-0.8571428571428572,21.0,0.18181818181818188,-0.7307692307692308,5.857142857142857,7.8125
Cambodia,,-0.1415873931007975,-0.12497901158560476,0.519444799795318,-0.16165017890970323,-0.17255000418445054,0.5918763654017316,-0.4597184100843753,-0.009266663530739905,0.5334488652549616,-0.23591609257682478,0.163445173839047,-0.2951256465179458,-0.473539875481767,0.18034633253554833,0.3489980916030535,-0.3076333628057766,0.5721096543504172
Cameroon,,,,,,,,,,,,,0.0,0.7519721272679463,0.0,42.630032644178456,0.4407353386355506,-0.28891386670996333
Central African Republic,,0.17218880009577675,0.10032172403227446,-0.12059963335112434,0.2367796073464219,-0.0191171136572148,0.0,0.0,0.0,0.0,0.0,0.0,0.017096991712526988,1.4872217113283006,1.5373000859845227,1.029337011332213,0.7246277342765011,-0.628851315498991
Chad,,-0.04468785867558256,0.14746519706427774,0.028725559374502163,-0.9699081756831508,22.28529411764706,0.42588733105974486,0.06938323552209047,-0.010996520874751448,0.0,3.1972485708901317,-0.09639407726692206,-0.957432947230105,96.86835278858625,0.21133633285402853,-0.13892949043359537,0.6450982534693017,0.5156166973542751
China,,1.646355140186916,0.20167631963083288,0.11641849529780557,-0.04541785125127229,-0.19344045299113877,0.6130105762217359,-0.17180566938925468,-0.43181818181818177,-0.4422222222222222,-0.46268978141488104,-0.32525050100200403,-0.9275319275319276,-0.6475409836065573,-0.34883720930232553,-0.3035714285714286,-0.9230769230769231,-1.0
Colombia,,0.6009817768915475,-0.11381160993456818,-0.11692595990552224,-0.21394703684873673,-0.144908992484586,-0.012603902029943548,0.06966093791633354,-0.37289626504335915,-0.015044873943320991,0.48195899025798083,-0.4888552500659076,0.001231178770485064,-0.14096279433024805,-0.21138966264314452,0.16797488226059665,0.7349000336021505,-0.3607839339539275
Comoros,,0.09634515031479807,0.2562796348710854,-0.2145339623837509,-0.9851579090567422,-0.5272642535342551,2.3780808412750574,0.0,0.0,-0.7090325404932146,5.107990638582414,-0.3197219333296841,1.005149662053428,0.06653290529695033,-0.9585559485288585,-0.4098955969133,-0.18000000000000005,1.1332082551594747
Congo,,-0.23934988254713985,-0.3592354561388865,-0.7872867005340628,-0.8205756276791182,-0.7713310580204779,0.0,1539.4925373134329,0.13639754682065242,-0.20833653050958723,0.0,-0.593516773464003,2.187764942772361,-0.6406885030626916,0.5341182457438933,-0.22305987364865887,2.334957014496691,-0.25550635158018475
Costa Rica,,-0.27461415646620546,-0.2509170946441672,-0.29676787463271304,0.7952646239554317,1.7470907680372383,-0.18017509178198254,-0.5787116775749225,-0.21013900245298445,-0.7287784679089027,-0.5801526717557253,-0.9090909090909091,-0.4,-1.0,,,,2.0
Côte d'Ivoire,,-0.23998726520216496,-0.36092493297587136,-0.7922128998426848,-0.8151419558359622,-0.7713310580204779,0.0,0.0,51.64179104477612,1.0946980436631697,7.490254466702762,-0.5221120428530435,37.051341072858285,1.197872748935454,0.48101340551657734,-0.09074665666172255,0.028176156667962138,-0.056565728153997186
Democratic People's Republic of Korea,,0.5861208628645869,-0.8846137784150229,-0.0024128362890577515,0.6380457129036159,-0.5823181985972683,0.14741493592576216,-0.6653315874605252,2.8230149597238205,-0.11913792065498763,-0.07599781301257513,0.23964497041420119,0.3036992840095465,-0.3406407322654462,-0.2687582425209968,-0.926625533934504,2.5174644243208277,0.6826038984920926
Democratic Republic of the Congo,,0.7068004459308808,0.13324624428478127,0.4051873198847262,0.10090237899917964,0.10692995529061111,-0.3099966341299226,360.3941463414634,1.1842485334571538,0.16097151310886426,0.2869396738710974,0.8868470249567786,0.05033273922008874,0.4014579269796841,0.4845349141793207,0.16636501436505613,0.31850153511429347,-0.010039501420698316
Djibouti,,,,,-0.9757744241461478,2.3852459016393444,3.348668280871671,-0.8830734966592427,-0.43333333333333335,21.571428571428573,-0.6239761727475801,0.0,-0.9752475247524752,66.36,4.605106888361045,0.0036020764911537384,0.45719413068721626,0.06280788177339902
Dominican Republic,,-0.15815085158150854,0.24855491329479773,0.17978395061728403,0.5402223675604971,0.6292993630573249,-0.08131352619233778,-0.23092198581560286,-0.32128365916635926,-0.10706521739130437,1.0779062690200854,-0.526654950205038,-0.4108910891089109,-0.3918067226890757,-0.20725388601036265,0.37472766884531583,0.09350237717908083,-0.5057971014492754
Ecuador,,0.041854814021123454,-0.2033552794688852,-0.39987551436771673,-0.44818976279650435,-0.4065436825617821,-0.421524926686217,-0.14184325256007302,-0.4221408317580341,-0.15763647515845436,-0.541747572815534,-0.354343220338983,-0.5537325676784249,-0.32352941176470584,-0.34239130434782605,1.553719008264463,0.9271844660194175,0.07052896725440805
Egypt,,,,,,,,,,,,,,,,-1.0,,
El Salvador,,-0.5192563081009296,-0.6767955801104972,-0.27350427350427353,0.3176470588235294,-0.4017857142857143,-0.26865671641791045,-0.18367346938775508,-0.17500000000000004,-0.3939393939393939,-0.050000000000000044,-0.5263157894736843,0.4444444444444444,-0.5384615384615384,0.0,-0.6666666666666667,5.0,-1.0
Equatorial Guinea,,,,,,,,,0.5115317321456976,0.4925812901189097,2.7939227298364355,-0.5825172356122126,-0.3248019229057242,-0.134484804535566,0.5551070150049509,-0.2583631287652447,8.755250297186633,-0.8935442815169855
Eritrea,,,-0.3744339234252779,0.7022046725896676,-0.6018751208196405,1.2027191065792668,-0.2790697674418605,1.3796055648983336,-0.43694185672984265,0.341738931994523,2.059954077727698,-0.031515757878939454,-0.37399563820018367,-0.022828329131331704,0.44335506872449226,-0.3703848153926157,0.2518583522609952,0.29833821285720186
Eswatini,,,-0.5197132616487455,-0.4895522388059701,0.6783625730994152,-0.5139372822299652,-0.4444444444444444,-0.4580645161290322,-0.30952380952380953,0.8275862068965518,1.5283018867924527,1.0485074626865671,0.023679417122040025,0.7117437722419928,-0.26091476091476096,-0.7791842475386779,1.2292993630573248,1.0685714285714285
Ethiopia,,,0.09026522961335659,0.08415713133627079,0.2481840115395313,-0.06903044373505796,-0.16914992707935173,0.009013354772432924,0.01492864351860046,1.2599305217844519,0.11760987961201019,0.2781124454648043,0.14339737865008995,0.5629731687402293,-0.1990732025580486,-0.11881924566325985,-0.07956631258037372,-0.1092607290992631
Gabon,,0.046388506199567026,0.18449414110256357,-0.07564786585365857,0.20378959664673957,0.008119871566178993,-0.5263858218673914,0.3505290214597405,-0.09925640685167969,-0.9837841822068254,20.115151515151513,0.0,0.4174081515499426,0.4672201690882398,0.10068318266510246,-0.25181818181818183,0.0020111450957389643,0.47371942295630354
Gambia,,,,,,,,,,0.2863343887243386,1.3095994283218864,1.25148470602391,0.14656807918554637,-0.1983300206749833,-0.30965729758463734,0.4460894308454,-0.36029319999001586,-0.5452352153159832
Georgia,,0.7877551020408162,0.08219178082191791,-0.33333333333333337,-0.18670886075949367,-0.39688715953307396,-0.6193548387096774,-0.5932203389830508,-0.75,-0.8333333333333334,-1.0,,,,,,,
Ghana,,,,,,0.37786392002372526,-0.2791023564593119,0.0089549078358091,1.2969984301676445,0.009033488871001305,-0.029639522985955846,-0.028346352356254934,2.6063672857883717,-0.5634145068420411,1.083570658714411,0.26464586909733034,0.0498268601795544,-0.041117118730137125
